url,topics,visits,impressions,ctr,ranking
https://www.ronkinlaw.co.il/עורך-דין-ביטוח/תביעה-נגד-חברת-ביטוח/כתב-סילוק/,,9,101,0.09,5.38
https://www.ronkinlaw.co.il/תקופת-אכשרה-בקרן-פנסיה/,,8,604,0.01,9.82
https://www.ronkinlaw.co.il/מה-גובר-מוטבים-בפוליסה-או-צוואה/,,8,451,0.02,15.2
https://www.ronkinlaw.co.il/ביטול-ביטוח-משכנתא/,,8,443,0.02,54.81
https://www.ronkinlaw.co.il/עורך-דין-תאונות-דרכים/ניהול-תביעת-תאונת-דרכים-וחישוב-פיצוי/שבר-בקרסול/,,8,233,0.03,8.64
https://www.ronkinlaw.co.il/טופס-בל-250/,,7,1152,0.01,12.67
https://www.ronkinlaw.co.il/עורך-דין-תאונות-דרכים/ניהול-תביעת-תאונת-דרכים-וחישוב-פיצוי/,,7,933,0.01,41.57
https://www.ronkinlaw.co.il/תאונת-אופנוע-ללא-ביטוח/,,7,545,0.01,51.18
https://www.ronkinlaw.co.il/עורך-דין-תאונות-דרכים/תאונת-דרכים-הולך-רגל/,,7,411,0.02,7.37
https://www.ronkinlaw.co.il/פסק-דין-אי-הפרשה-לפנסיה/,,7,174,0.04,21.2
https://www.ronkinlaw.co.il/גילוי-דוח-חקירה/,,7,141,0.05,13.88
https://www.ronkinlaw.co.il/תאונה-בבית-מלון/,,7,125,0.06,6.14
https://www.ronkinlaw.co.il/ביטוח-חבות-מעבידים/,,6,906,0.01,24.96
https://www.ronkinlaw.co.il/הצלחות-המשרד/,,6,201,0.03,14.74
https://www.ronkinlaw.co.il/עורך-דין-ביטוח-לאומי/זכויות-חולי-לב-בביטוח-לאומי/,,6,191,0.03,9.93
https://www.ronkinlaw.co.il/פסקי-דין/דיני-עבודה/חיוב-מעביד-לגלות-מסמכים/,,6,125,0.05,22.09
https://www.ronkinlaw.co.il/category/תאונות-אופנוע/,"Motorcycle accidents, Legal representation, Compensation claims, Personal injury, Insurance claims, Traffic laws, Medical treatment, Court proceedings",0,3,0,111.67
https://www.ronkinlaw.co.il/category/תביעות-עורכי-דין/,"Legal claims, Lawyers, Legal procedures, Lawsuits, Legal representation, Legal advice, Litigation, Legal rights, Compensation, Legal services",1,16,0.0625,14.88
https://www.ronkinlaw.co.il/category/תביעות-פנסיה/,"Pension claims, Legal rights, Retirement disputes, Pension law, Social security, Pension rights protection",0,16,0,45.75
https://www.ronkinlaw.co.il/faq/,"Legal services, Israel, Real estate, Inheritance, Contracts, Family law, FAQs, Business law",0,22,0,9.64
https://www.ronkinlaw.co.il/lpageinsurance/,"Insurance, Legal services, Personal injury, Claims, Compensation, Lawsuit, Accident, Coverage, Attorney, Policy",0,1,0,3
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-זמני/,"Disability compensation, Temporary work disability, Legal rights, Workplace injury, Compensation claims, Social security, Labor law, Employee rights",2,193,0.0104,29.16
https://www.ronkinlaw.co.il/category/רשלנות-רפואית/medical-negligence-in-pregnancy/,"Medical negligence, Pregnancy complications, Legal rights in medical care, Maternal health, Fetal health, Malpractice claims, Obstetric care, Legal advice, Compensation claims",0,2,0,51.5
https://www.ronkinlaw.co.il/category/work-accident-lawyer/,"Work Accident, Lawyer, Legal Rights, Workplace Safety, Compensation Claims, Occupational Injuries, Professional Representation",0,16,0,183.94
https://www.ronkinlaw.co.il/6-המלצות-מקצועיות-לקבלת-פיצוי-מרבי-לאחר/,"Compensation, Legal tips, Personal injury, Maximum compensation, Professional advice",0,7,0,67.14
https://www.ronkinlaw.co.il/category/car-accidents/,"Car accidents, Legal assistance, Compensation claims, Injury claims, Personal injury, Traffic accidents, Insurance coverage, Legal rights, Court process, Settlement negotiations",0,20,0,58.25
https://www.ronkinlaw.co.il/category/disability-lawyer/,,0,2,0,69.5
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-חלקי/,"Partial work disability, Worker's rights, Legal assistance, Compensation claims, Disability evaluation",0,119,0,47.1
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-לאחר-פיטורין/,"Unemployment, Termination, Labor rights, Legal consultation, Severance pay, Employment laws, Compensation, Dismissal, Israeli labor market",1,504,0.002,27.67
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-למנהל/,"Loss of work capacity, Labor law, Employment rights, Legal consultation, Executive level employment",0,70,0,72.4
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-לעצמאי/,"Employment Disability, Self-Employment, Legal Rights, Compensation Claims, Labor Law, Independent Contractors",1,304,0.0033,13.41
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-מחלה-אוטואימונית/,"Disability, Autoimmune disease, Labor disability, Legal rights, Compensation, Social security, Medical documentation, Legal representation, Employment rights",2,450,0.0044,9.63
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-מלא/,"Unemployment compensation, Total disability, Labor law, Workplace injury, Legal rights, Termination of employment",0,23,0,37.43
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-פנסיה/,"כושר עבודה (Work Capacity), פנסיה (Pension), אובדן (Loss), צו לביטול כושר עבודה (Dismissal Order), פסק דין (Court Ruling)",0,412,0,60.53
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-של-עובד-היי-טק/,"Employment Rights, High-Tech Employee, Disability, Workplace Discrimination, Legal Assistance, Compensation Claims",0,36,0,48.19
https://www.ronkinlaw.co.il/category/lawsuit-against-karnit/,"Lawsuit, Karnit, Legal representation, Civil litigation, Court proceedings, Legal dispute resolution, Legal advice, Legal rights, Legal services, Legal system",0,1,0,30
https://www.ronkinlaw.co.il/category/social-security-lawyer/,"Social security, Lawyer, Israel, Legal services, Benefits, Disability, Law firm, Rights, Claims, Expertise",0,1,0,99
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-של-רואה-חשבון/,"Loss of work capacity, Accountant, Legal representation, Compensation claims, Workplace accident, Disability benefits, Social security, Legal rights, Employment law, Vocational rehabilitation",0,157,0,35.23
https://www.ronkinlaw.co.il/אודות/הצהרת-נגישות/,"Legal services, Accessibility statement, Law firm, About us, Accessibility compliance, Client representation, Services offered",0,11,0,40
https://www.ronkinlaw.co.il/אחריות-מעביד-ביטוח-רכב/,"Legal services, Liability, Car insurance, Compensation, Rights, Responsibilities",0,14,0,21.5
https://www.ronkinlaw.co.il/אי-אבחון-סרטן-כליה/,"Kidney cancer, Misdiagnosis, Legal implications, Medical malpractice, Compensation , Negligence, Legal rights, Patient advocacy, Expert representation, Lawsuits",3,250,0.012,16.89
https://www.ronkinlaw.co.il/אלימות-בעבודה/,"Workplace violence, Employment law, Legal rights, Protection orders, Harassment, Discrimination, Employee safety, Workplace regulations, Israeli labor law",5,394,0.0127,12.47
https://www.ronkinlaw.co.il/ארכת-ביטוח/,"Insurance, Legal services, Compensation, Advocacy, Accident claims, Legal consultation, Personal injury, Vehicle accidents, Disability claims, Insurance policies",1,137,0.0073,6.64
https://www.ronkinlaw.co.il/בדיקת-רישיון-נהיגה-על-ידי-מעסיק/,"Driving license, Employer, Verification, Legal rights, Employee rights",4,1409,0.0028,14.34
https://www.ronkinlaw.co.il/category/car-accidents/lawsuit-against-karnit/,"Car accidents, Lawsuit, Karnit, Legal assistance, Compensation, Personal injury, Legal advice",0,11,0,31.36
https://www.ronkinlaw.co.il/category/insurance-lawyer/,"Insurance Lawyer, Legal Services, Insurance Claims, Policy Disputes, Compensation, Legal Representation, Coverage Analysis, Litigation, Settlements, Insurance Regulations",0,5,0,70.2
https://www.ronkinlaw.co.il/category/medical-malpractice-attorney/,"Medical Malpractice, Attorney, Legal Rights, Compensation, Personal Injury, Medical Negligence, Lawsuits, Expert Witnesses, Medical Records, Settlements",0,1,0,92
https://www.ronkinlaw.co.il/category/חוזרים-והכרעות/,"Legal advice, Family law, Divorce proceedings, Child custody, Mediation, Legal representation, Property division, Spousal support, Court decisions, Conciliation proceedings",0,22,0,55.27
https://www.ronkinlaw.co.il/category/כללי/,,0,5,0,27
https://www.ronkinlaw.co.il/category/רשלנות-רפואית/medical-negligence-childbirth/,,0,55,0,68.71
https://www.ronkinlaw.co.il/category/חקיקה-בביטוח/,"Insurance regulations, Israeli legislation, Legal interpretations, Court rulings, Policy coverage, Insurance disputes, Compensation claims, Insurance contracts, Compliance requirements, Legal consultations",0,27,0,17.41
https://www.ronkinlaw.co.il/אובדן-כושר-עבודה-לנהג/,"Work Disability, Driver, Legal Rights, Compensation Claims, Occupational Injury",0,47,0,48.34
https://www.ronkinlaw.co.il/ביטוח-לאומי-סיעוד/,"National Health Insurance, Nursing care, Legal assistance, Eligibility criteria, Medical coverage, Rights and benefits, Claim process, Legal rights, Healthcare services, Government support",0,805,0,41.49
https://www.ronkinlaw.co.il/ביטוח-סיעודי-של-קופת-חולים/,"Health insurance, Sick funds, Medical coverage, Supplementary insurance, Hospitalization, Healthcare services, Legal advice, Patient rights, Policy coverage, Insurance litigation",0,116,0,50.4
https://www.ronkinlaw.co.il/בור-במגרש-כדורגל/,"Liability, Sports, Soccer, Injury, Legal protection, Property damage, Player safety, Legal advice, Compensation, Field hazards",0,122,0,8.93
https://www.ronkinlaw.co.il/ביטוח-אחריות-מקצועית-של-עורכי-דין/,"Professional liability insurance, Lawyers, Legal profession, Coverage, Policy, Benefits, Claims, Risks, Protection, Legal services",0,126,0,26.83
https://www.ronkinlaw.co.il/ביטוח-דירה-התקנת-אמצעי-מיגון/,"Home insurance, Installation of security measures, Property protection, Legal advice, Damage prevention, Insurance policy, Risk management",0,5,0,4
https://www.ronkinlaw.co.il/ביטוח-דירקטורים-ונושאי-משרה/,"Directors' Insurance, Corporate Governance, Liability Coverage, Legal Protection, Employment Law, Company Directors, Business Risks, Legal Responsibilities",0,190,0,59.16
https://www.ronkinlaw.co.il/ביטוח-השתלות/,"Insurance, Transplants, Legal services, Protection, Health, Regulations, Policies",0,82,0,76.89
https://www.ronkinlaw.co.il/ביטוח-חיים-קבוצתי/,"Group Life Insurance, Benefits, Coverage, Policy, Premiums, Administration, Law, Regulations, Insured Individuals, Claims",0,1,0,29
https://www.ronkinlaw.co.il/ביטוח-חסר/,"Insurance, Disability, Legal rights, Compensation, Advocacy",0,150,0,10.2
https://www.ronkinlaw.co.il/ביטוח-קולקטיבי-קבוצתי/,"Collective insurance, Group insurance, Benefits, Policy, Coverage, Employees, Premiums, Regulations",0,6,0,65.17
https://www.ronkinlaw.co.il/ביטוח-קריסת-דירה-או-בית/,"Home insurance, Property damage, Legal services, Insurance claims, Apartment insurance",0,403,0,75.92
https://www.ronkinlaw.co.il/ביטוח-רכוש/,"Property insurance, Legal services, Asset protection, Insurance policies, Real estate law, Liability coverage, Ownership rights, Insurance claims, Risk management, Property damages",0,3,0,98
https://www.ronkinlaw.co.il/category/דיני-ביטוח/סוכן-הביטוח/,"Insurance law, Insurance agent, Legal advice, Compensation claims, Policy coverage",0,2,0,17.5
https://www.ronkinlaw.co.il/category/סוכן-הביטוח/,"Insurance, Agent, Policies, Coverage, Claims, Regulations, Consultation, Providers, Premiums, Customer service",0,2,0,57
https://www.ronkinlaw.co.il/category/רשלנות-רפואית/,"Medical malpractice , Legal rights, Compensation claims, Healthcare negligence, Lawsuits , Patient rights, Professional misconduct, Legal representation",0,4,0,44.25
https://www.ronkinlaw.co.il/ביטוח-חבות-המוצר/,,0,190,0,37.74
https://www.ronkinlaw.co.il/category/אובדן-כושר-עבודה/,"Workplace Disability, Legal Rights, Compensation Claims, Employment Law, Workplace Accidents, Disability Benefits, Legal Consultation",0,27,0,65.48
https://www.ronkinlaw.co.il/category/ביטוח-לאומי/,"National Insurance Institute, Social security benefits, Disability insurance, Maternity leave, Unemployment benefits, Health insurance, Pension rights",0,20,0,76.9
https://www.ronkinlaw.co.il/category/ביטוח-רכב/,"Car insurance, Legal advice, Compensation claims, Traffic accidents, Vehicle damages, Insurance policies, Law firm, Personal injury, Litigation process, Insurance coverage",0,2,0,13
https://www.ronkinlaw.co.il/category/דיני-ביטוח/ביטוח-אחריות/,"Insurance, Liability, Legal rights, Compensation, Coverage, Claims, Accidents, Regulations, Policies, Litigation",0,24,0,33.88
https://www.ronkinlaw.co.il/category/דיני-ביטוח/ביטוח-סיעודי/,"Health Insurance, Nursing Insurance, Legal Rights, Medical Coverage, Insurance Regulations",0,5,0,69
https://www.ronkinlaw.co.il/category/דיני-ביטוח/ביטוח-תאונות-ומחלות/,"Insurance, Accidents, Diseases, Legal rights, Compensation, Law firm, Personal injury, Claims, Medical treatment",0,14,0,47.29
https://www.ronkinlaw.co.il/category/חוזרים-והכרעות/page/2/,"Legal cases, Rulings, Appeals, Israeli law, Court decisions",0,2,0,4.5
https://www.ronkinlaw.co.il/category/נזיקין/,"Personal injury, Compensation, Legal rights, Accidents, Claims, Advocacy, Lawsuits, Damages, Professional representation",0,8,0,24.88
https://www.ronkinlaw.co.il/category/דיני-ביטוח/חקיקה-בביטוח/,"Insurance law, Legislation, Insurance claims, Legal protection, Court rulings, Policy interpretation, Legal rights, Coverage disputes",0,4,0,57
https://www.ronkinlaw.co.il/אודות/,"Legal Services, Law Firm, Expertise, Team, Experience, Trust, Personal Approach, Testimonials, Client Satisfaction, Contact",2,158,0.0127,2.29
https://www.ronkinlaw.co.il/category/דיני-ביטוח/תביעות-פנסיה/,"Insurance law, Pension claims, Legal assistance, Retirement planning, Pension rights",0,3,0,29.67
https://www.ronkinlaw.co.il/category/זכויות-נשים-בהריון/,"**URL Analysis:**, **Title and",0,9,0,72.44
https://www.ronkinlaw.co.il/אודות/מהתקשורת/,"Ronkin Law Firm, Legal services, Expertise, Team, Communication, Clients, Recommendations, FAQ, Contact, Accessibility",0,2,0,48.5
https://www.ronkinlaw.co.il/חובת-הצבת-דפיברילטור/,"Duty to Install Defibrillator, Legal Obligations, Public Spaces, Regulations Compliance, Emergency Preparedness, AED Requirements, Israeli Law, Safety Regulations",0,86,0,49.48
https://www.ronkinlaw.co.il/מהי-תאונת-דרכים-כנגד-מי-מגישים-תביעה/,"Road Accidents, Claim Filing, Legal Representation, Compensation, Liability, Injuries, Traffic Laws, Insurance, Legal Rights, Court Proceedings",0,5,0,4.6
https://www.ronkinlaw.co.il/עורך-דין-ביטוח-לאומי/פטור-ממס-הכנסה-לנכה/,"Income Tax Exemption, National Insurance, Legal Representation, Benefits Entitlement, Disability, Legal Advice, Social Security, Rights Protection, Advocacy Services, Compensation Claim",0,111,0,56.19
https://www.ronkinlaw.co.il/עורך-דין-ביטוח/דיני-ביטוח/ביטוח-רכוש/,"**Keywords in the URL**: Start by extracting keywords from the URL itself, such as ""עורך-דין-ביטוח"", ""דיני-ביטוח"", and ""ביטוח-רכוש""., **Page Title and Headers**: Look at the title of the page and different headers used. They often provide a good overview of the main topics discussed on the webpage.",0,1,0,10
https://www.ronkinlaw.co.il/עורך-דין-ביטוח/עורך-דין-תביעות-ביטוח-סיעודי/ביטוח-סיעודי/ביטוח-לאומי-סיעוד/,"Lawyer for insurance (Orech Din Bituach), Nursing insurance (Bituach Siudi), Legal representation for insurance claims (Orech Din Tevu",0,23,0,55.04
https://www.ronkinlaw.co.il/עורך-דין-ביטוח/תביעה-ביטוח-חיים/התיישנות-ביטוח-משכנתא/,"Insurance claim, Life insurance, Mortgage insurance, Policy expiration, Legal representation, Property insurance, Legal rights, Compensation, Legal consultation, Financial protection",0,5,0,12.4
https://www.ronkinlaw.co.il/עורך-דין-דיני-עבודה/זכויות-נשים-בהריון/,"Women's rights, Pregnancy rights, Maternity leave, Employment law, Discrimination, Legal representation, Workplace accommodations, Maternity benefits, Employment disputes, Israeli law",0,172,0,58.84
https://www.ronkinlaw.co.il/עורך-דין-נזיקין/עורך-דין-תאונות/,"Personal injury lawyer, Car accidents, Compensation claims, Legal representation, Insurance disputes, Traffic accidents, Legal advice, Victims' rights, Legal procedures, Court representation",0,86,0,68.19
https://www.ronkinlaw.co.il/עורך-דין-רשלנות-רפואית/רשלנות-רפואית-בהיריון/רשלנות-כאבי-גב-בהיריון/,"Medical malpractice, Pregnancy malpractice, Back pain during pregnancy, Legal rights, Compensation claims, Maternal health, Legal assistance, Medical negligence, Maternity care, Legal representation.",0,22,0,50
https://www.ronkinlaw.co.il/עורך-דין-תאונות-דרכים/סעיף-330-לחוק-הביטוח-הלאומי/,"Traffic accidents, Section 330 of the National Insurance Law, Legal representation, Compensation claims, Legal rights, Insurance coverage, Personal injury, Legal process, Court procedures, Damages",0,30,0,10.93
https://www.ronkinlaw.co.il/עורך-דין-תאונות-דרכים/תביעה-נגד-קרנית-תאונה-ללא-ביטוח/תאונת-פגע-וברח/,"Road accidents, Legal representation, Claims against uninsured drivers, Hit-and-run accidents, Compensation, Legal rights, Insurance disputes",0,11,0,21.18
https://www.ronkinlaw.co.il/עורך-דין-תביעות-ביטוח-בריאות/,"Legal services, Health insurance claims, Litigation, Legal representation, Insurance disputes, Healthcare coverage, Advocacy, Compensation claims, Patient rights, Legal consultation",0,1284,0,21.89
https://www.ronkinlaw.co.il/עורך-דין-תביעות-ביטוח-חיים/,"insurance claims (ביטוח חיים), lawyer (עורך דין), legal services (תביעות), life insurance (ביטוח חיים), legal representation (תביעות), compensation (פיצויים), legal advice (עורך",0,161,0,38.81
https://www.ronkinlaw.co.il/צור-קשר/,"**Page Title:** Look at the title of the web page as it often gives a hint about the main topic or subject matter., **Headings and Subheadings:** Analyze the headings and subheadings on the web page to understand the structure and hierarchy of the content., **",2,167,0.012,2.44
https://www.ronkinlaw.co.il/רשלנות-רפואית-מיעוט-מי-שפיר/,"Medical Malpractice, Patient Rights, Legal Consultation, Compensation, Healthcare Law, Liability, Informed Consent, Human Rights, Defamation, Professional Negligence",3,370,0.0081,15.79
https://www.ronkinlaw.co.il/תאונה-להולך-רגל-עם-מספר-כלי-רכב/,"Pedestrian accidents, Traffic collisions, Legal representation, Personal injury claims, Compensation rights, Car accidents, Liability laws, Legal advice, Insurance coverage, Legal proceedings",0,18,0,56.89
https://www.ronkinlaw.co.il/תאונת-עבודה-עצמאי/,"Work accident, Self-employed, Legal rights, Compensation, Personal injury, Workplace safety, Insurance claims, Legal consultation, Occupational hazards, Rights protection",0,59,0,48.83
https://www.ronkinlaw.co.il/תקנות-הפיקוח-על-שירותים-פיננסיים-ביטו-2/,"Financial Services Regulation, פיננסיים (Finance), בנקאות (Banking), פיקוח (Supervision), תקנות (Regulations), Compliance, שירותים",0,6,0,56
https://www.ronkinlaw.co.il/תביעה-נגד-עורך-דין/רשלנות-עורך-דין-התיישנות/,"Legal claim, Attorney misconduct, Negligence, Statute of limitations, Professional responsibility, Legal representation, Lawyer-client relationship",0,17,0,84.88
https://www.ronkinlaw.co.il/תביעת-ביטוח-אובדן-כושר-עבודה/המלצות-לתביעה-אובדן-כושר-עבודה/,"Work disability insurance, Legal recommendations, Lawsuits, Compensation claims, Occupational incapacity",0,2,0,39
https://www.ronkinlaw.co.il/category/דיני-ביטוח/,"ביטוח (Insurance), דיני ביטוח (Insurance Law), תביעת ביטוח (Insurance Claim), תגובות דין (Legal Opinions), פרטיות (Privacy)",0,4,0,85.25
https://www.ronkinlaw.co.il/עורך-דין-רשלנות-רפואית/רשלנות-רפואית-בהיריון/,"Medical Malpractice, Rights of Pregnant Women, Legal Representation, Lawsuit in Pregnancy, Legal Consultation, רשלנות רפואית (Medical Malpractice), בהיריון",0,48,0,86.81
https://www.ronkinlaw.co.il/אופן-חישוב-הפיצויים/,"Compensation, Calculation method, Legal rights, Damages, Lawsuit process, Legal consultation, Court rulings, Financial compensation, Legal representation",0,26,0,43.5
https://www.ronkinlaw.co.il/חוות-דעת-מומחה-בביטוח-תלמידים/,"Expert opinion, Insurance for students, Legal advice, Student accidents, Personal injury claims, Compensation rights, Legal representation, Education law",0,5,0,5.2
https://www.ronkinlaw.co.il/מומחה-רפואי-בתביעות-תאונות-דרכים/,"Medical Expertise, Road Traffic Accidents, Legal Claims, Personal Injury, Compensation, Legal Representation, Professional Services, Advocate, Expert Testimony",0,10,0,56.1
https://www.ronkinlaw.co.il/עורך-דין-ביטוח-לאומי/פטור-ממס-הכנסה-לנכה/פטור-ממס-עקב-מחלת-נפש/,"Income Tax Exemption, National Insurance, Mental Health Disorders, Legal Counsel, Disability Benefits, Tax Relief, Legal Rights",0,13,0,40.15
https://www.ronkinlaw.co.il/עורך-דין-ביטוח/הפרת-חובת-הגילוי-בכוונת-מרמה/,"Insurance, Breach of Duty, Fraudulent Intent, Legal Counsel, Compensation, Claims Process, Attorney Expertise",0,11,0,47.27
https://www.ronkinlaw.co.il/עורך-דין-ביטוח/עורך-דין-תביעות-ביטוח-סיעודי/ביטוח-סיעודי/גמלת-סיעוד/,"Insurance law, Nursing insurance, Disability claims, Disability insurance, Nursing benefits, Legal representation, Compensation claims, Legal rights, Healthcare benefits, Nursing care",0,36,0,59.08
https://www.ronkinlaw.co.il/עורך-דין-ביטוח/תביעה-ביטוח-חיים/זיוף-כתב-מוטבים/,"Insurance, Life Insurance, Counterfeit, Claim, Attorney, Legal, Policy, Fraud, Compensation, Dispute",0,2,0,26.5
